Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
EARS2_s_17278	1.538069367	33.3381633802	33.8877643064	0	13.3381633802	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1
HSPA9_s_26292	1.250106802	75.7154092137	76.48173604	57	66.35770460685	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
E2F5_s_17245	1.248874657	95.4096488113	95.7690864252	0	75.4096488113	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLD2_s_42972	1.239852927	51.3223082905	52.0816034799	0	31.3223082905	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
RPS29_s_48310	1.219886114	25.5066663865	25.9366081729	0	5.5066663865	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
CARS2_s_9155	1.218845304	75.6907427912	76.4592403252	62	68.8453713956	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EXOSC3_s_19005	1.20831886	40.591050255	41.2435704321	0	20.591050255	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FARS2_s_20317	1.205512829	78.5735802335	79.3245725631	63	70.78679011675	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMC5_s_44763	1.170759152	5.91256730265	5.81296587162	0	-14.08743269735	3_PromD1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
ZBTB17_s_62582	1.162820089	67.6212092889	68.4323669077	0	47.6212092889	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRPF19_s_44303	1.156607616	73.6692022569	74.4498426032	0	53.6692022569	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
HARS_s_24721	1.15471984	84.7515788907	85.4342624003	0	64.7515788907	3_PromD1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
WARS_s_61563	1.094313261	75.678981074	76.4471694538	76	75.839490537	11_TxEnh3	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SMC1A_s_52544	1.084062596	76.2730768394	77.0347282627	59	67.6365384197	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NARS2_s_36098	1.07439898	77.6698084094	78.4275605062	47	62.3349042047	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SRSF1_s_53938	1.050963763	36.0123870423	36.6030519552	48	42.00619352115	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
DDX5_s_15448	1.0455512	64.3363349678	65.1605023531	65	64.6681674839	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
ORC1_s_39578	1.043710389	40.0591551695	40.7085016244	0	20.0591551695	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRPF3_s_44306	1.042231564	92.1665857357	92.6707132129	0	72.1665857357	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
NCBP1_s_36224	1.035861837	60.3484491678	61.1480715503	24	42.1742245839	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GTF2IRD1_s_24425	1.006605352	98.2514861612	98.4185329575	73	85.6257430806	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNASEH2C_s_47483	0.996734561	76.848958535	77.6061925765	66	71.4244792675	9_TxReg	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1
PSMA3_s_44677	0.990461756	28.263037716	28.7425370923	0	8.263037716	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EXOSC5_s_19014	0.966799002	95.3001431685	95.6634114331	81	88.15007158425	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCNA2_s_10010	0.956656389	82.1022428747	82.8332456671	72	77.05112143735	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
E2F2_s_17231	0.95407267	92.5627601911	93.0550058635	0	72.5627601911	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPA1_s_48046	0.951622352	68.2095532428	69.0197062462	67	67.6047766214	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPL27_s_48150	0.945035546	18.7525648102	19.0056601413	0	-1.2474351898	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1
VARS2_s_61116	0.943932078	45.4218345403	46.1256526501	0	25.4218345403	2_PromU	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1
CDC23_s_10597	0.940377914	68.299664957	69.1094696352	63	65.6498324785	3_PromD1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1
TGFB3_s_56347	0.939333732	47.9070595744	48.6408930396	0	27.9070595744	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
